objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Bon Appetit!,270632,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115923733,5.50115,5.59239,1,23136,240,thing,Bon Appetit!,2,4,20,20,20,2019,"2,3,4",3,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Bonfire,304420,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123231751,7.09141,7.63183,3.6296,385,12148,thing,Bonfire,1,4,100,100,70,2020,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,
BOO,195373,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35149760,5.59286,6.13448,1.3,9167,2007,thing,BOO,2,2,15,15,15,2017,2,2,6+,No necessary in-game text,,,,,,standalone,,,,,
Books of Time,372631,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120221384,6.04521,7.16425,2.5686,2771,2458,thing,Books of Time,1,4,60,60,45,2023,"1,2,3",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Boom Boom Balloon,129735,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33643192,5.54656,5.9343,1,12776,590,thing,Boom Boom Balloon,2,6,15,15,15,2012,"2,3,4,5,6",4,6+,No necessary in-game text,,,,,,standalone,,,,,
Boomtown,10997,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691343,6.05837,6.52814,1.6923,2709,3228,thing,Boomtown,3,5,30,30,30,2004,"3,4,5","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Boonlake,343905,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762846,7.01076,7.63994,3.8104,463,9806,thing,Boonlake,1,4,160,160,80,2021,"1,2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,
BOOoop.,383579,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,109049332,5.97685,7.64882,1.5,3138,2242,thing,BOOoop.,2,2,35,35,25,2023,2,2,8+,,,,,,,standalone,,,,,
boop the Halls!,417696,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,125673920,5.63996,7.55227,1.3333,7282,938,thing,boop the Halls!,2,2,30,30,20,2024,2,2,8,,,,,,,standalone,,,,,
Bora Bora,127060,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27231204,7.18394,7.55862,3.7243,301,12892,thing,Bora Bora,2,4,120,120,60,2013,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,
Bora Bora: Orange God Tiles,149712,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34813390,5.76661,7.42888,2.3889,0,1415,thing,Bora Bora: Orange God Tiles,2,4,60,60,60,2013,"2,3,4",4,12+,No necessary in-game text,,,,,,expansion,,,,,
Borneo,32164,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691622,5.49799,5.5209,2.2,23816,481,thing,Borneo,3,5,45,45,30,2007,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,
Bosk,252556,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80375929,6.14754,6.84211,2.04,2296,4732,thing,Bosk,2,4,40,40,20,2019,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,
The Boss,85005,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34282811,6.19577,6.78963,1.7843,2112,3035,thing,The Boss,2,6,40,40,40,2010,"2,3,4,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Boss Monster 2: The Next Level,174973,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,29018007,6.18696,6.71382,1.8409,2152,12916,thing,Boss Monster 2: The Next Level,2,4,30,30,20,2015,"2,3,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Boss Monster: Collector Box,194669,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701733,5.73699,7.0218,1.4,0,2812,thing,Boss Monster: Collector Box,2,4,20,0,20,2015,"2,3,4",2,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Boss Monster: Crash Landing,202831,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257172,5.78008,6.79849,2,0,4808,thing,Boss Monster: Crash Landing,2,6,20,0,20,2016,"4,5,6",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Boss Monster: Implements of Destruction,225319,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701754,5.70871,7.07591,2,0,3054,thing,Boss Monster: Implements of Destruction,2,6,20,0,20,2017,"2,3,4",2,10+,Unplayable in another language,,,,,,expansion,,,,,
Boss Monster: Malakill Promo Card,230511,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701784,0,6.63889,2,0,163,thing,Boss Monster: Malakill Promo Card,2,4,20,20,20,2017,,,,,,,,,,expansion,,,,,
Boss Monster: Paper & Pixels,164095,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28154517,5.73208,6.91559,1.8571,0,3067,thing,Boss Monster: Paper & Pixels,2,4,20,0,20,2015,"2,3,4",3,,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Boss Monster: Reactor Core,212379,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701777,0,6.51538,0,0,197,thing,Boss Monster: Reactor Core,2,4,20,20,20,2016,,,,,,,,,,expansion,,,,,
Boss Monster: Rise of the Minibosses,246855,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53414546,5.81998,6.87296,2.1,4308,3786,thing,Boss Monster: Rise of the Minibosses,2,4,45,45,20,2018,"2,3,4",3,10+,Unplayable in another language,,,,,,standalone,,,,,
Boss Monster: The Dungeon Building Card Game,131835,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27231137,6.0866,6.27141,1.848,2576,37581,thing,Boss Monster: The Dungeon Building Card Game,2,4,30,30,30,2013,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Boss Monster: Tools of Hero-Kind,133772,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27231142,6.06969,6.7553,1.7647,0,9906,thing,Boss Monster: Tools of Hero-Kind,2,4,20,20,20,2013,"2,3,4","2,3",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Boss Monster: Vault of Villains,310974,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94994012,5.58281,7.29298,2,0,1527,thing,Boss Monster: Vault of Villains,2,6,60,60,60,2021,,,,,,,,,,expansion,,,,,
Botanik,271529,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100217781,6.60495,7.54264,1.7647,1035,5241,thing,Botanik,2,2,30,30,30,2021,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,
Bottlecap Vikings,172032,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151151,5.42024,5.08847,1.6818,27667,1912,thing,Bottlecap Vikings,2,4,60,60,30,2015,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,
BOX,195455,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35149837,5.4691,5.28627,2.1667,26896,1579,thing,BOX,2,6,15,15,15,2017,"2,3,4",2,,No necessary in-game text,,,,,,standalone,,,,,
Box One,323255,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107525301,6.25881,7.7602,1.913,1881,2532,thing,Box One,1,1,240,240,180,2020,1,1,10+,Unplayable in another language,,,,,,standalone,,,,,
Brain Freeze,339976,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,116130442,5.49473,5.19,1,24485,183,thing,Brain Freeze,3,10,30,30,20,2020,,,,,,,,,,standalone,,,,,
Brass: Birmingham,224517,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,101467420,8.40587,8.58187,3.8718,1,71530,thing,Brass: Birmingham,2,4,120,120,60,2018,"2,3,4","3,4",14+,No necessary in-game text,,,,,,standalone,,,,,
BraveRats,112373,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115915574,6.01446,6.46632,1.1405,2928,5395,thing,BraveRats,2,2,15,15,15,2011,2,2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Brazil: Imperial,249277,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,122769297,6.66846,7.55215,2.9838,930,6627,thing,Brazil: Imperial,1,4,100,100,100,2021,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Brettspiel Adventskalender 2017,231506,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,48571050,5.52357,6.82558,0,0,432,thing,Brettspiel Adventskalender 2017,0,0,0,0,0,2017,,,,,,,,,,expansion,,,,,
Brew Crafters,139898,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47064810,6.59312,7.37121,3.5844,1056,4854,thing,Brew Crafters,2,5,90,90,90,2013,"2,3,4,5","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Brew Crafters: Travel Card Game,154905,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,29017975,5.77297,6.28706,1.3409,4845,2596,thing,Brew Crafters: Travel Card Game,2,4,30,30,30,2014,"2,3,4","2,3",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
The Bridges of Shangri-La,8190,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691872,6.28538,6.91062,2.722,1794,3817,thing,The Bridges of Shangri-La,3,4,60,60,60,2003,"3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,
Broadhorns: Early Trade on the Mississippi,130393,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53378015,5.58423,6.77776,2.8571,9653,316,thing,Broadhorns: Early Trade on the Mississippi,2,4,90,90,60,2018,"3,4",3,12+,,,,,,,standalone,,,,,
Broken and Beautiful: A Game About Kintsugi,359974,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,127885244,5.69621,6.92805,1.3333,5990,1041,thing,Broken and Beautiful: A Game About Kintsugi,2,4,15,15,15,2023,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,
Broom Service,172308,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164486,6.85962,7.16259,2.4018,649,17159,thing,Broom Service,2,5,75,75,30,2015,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Bubblee Pop,192343,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,60335296,5.76262,6.18112,1.3171,4963,1942,thing,Bubblee Pop,1,2,20,20,20,2016,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,
Bucket Brigade,359,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53403821,5.62638,6.02827,1.2667,7711,943,thing,Bucket Brigade,3,5,30,30,30,1998,"3,4,5","4,5",6+,No necessary in-game text,,,,,,standalone,,,,,
Bugs,58696,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101502928,5.49771,5.48419,1.25,23890,578,thing,Bugs,3,6,30,30,30,2010,"3,4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,
The Builders: Middle Ages,144553,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,122921368,6.14228,6.469,1.8037,2313,6894,thing,The Builders: Middle Ages,2,4,30,30,30,2013,"2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Bull Run: The First Major Battle of the American Civil War,671,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691284,5.57538,6.41286,2.8438,10213,899,thing,Bull Run: The First Major Battle of the American Civil War,2,2,240,240,240,1983,"1,2",2,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Bullet♥︎,307305,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,123231603,6.83654,7.62918,2.117,681,6911,thing,Bullet♥︎,1,4,20,20,10,2021,"1,2,3,4",1,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Burger Up,186701,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102722593,5.84151,6.77252,1.7,4121,1761,thing,Burger Up,2,4,45,45,45,2016,"2,3,4",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Burgle Bros 2: The Casino Capers,286537,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123287342,6.31162,7.29567,2.5,1716,5882,thing,Burgle Bros 2: The Casino Capers,1,4,70,70,45,2021,"1,2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Burgle Bros.,172081,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123287340,7.09531,7.4238,2.3208,380,18703,thing,Burgle Bros.,1,4,90,90,45,2015,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Bus,552,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123493934,6.9219,7.6592,3.0511,567,6078,thing,Bus,3,5,120,120,120,1999,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,
Bushido,210152,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94994284,5.66848,7.25069,2,6561,520,thing,Bushido,2,2,30,30,20,2018,2,2,,,,,,,,standalone,,,,,
Business Walrus: A Party Game,344454,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,124264917,5.52278,6.4094,1,17183,375,thing,Business Walrus: A Party Game,4,20,30,30,30,2021,"4,5,6,7,8,9","5,6",,,,,,,,standalone,,,,,
Byzantium,19348,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123230564,5.97286,6.78468,3.4481,3166,2004,thing,Byzantium,2,4,180,180,120,2005,"3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,
Ca$h 'n Guns (Second Edition): Team Spirit,199240,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100380695,5.75628,7.24534,1.6667,0,2757,thing,Ca$h 'n Guns (Second Edition): Team Spirit,4,9,30,30,30,2016,"5,6,7,8,9","8,9",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Ca$h 'n Guns: Second Edition,155362,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100380681,6.63031,6.81858,1.248,992,23227,thing,Ca$h 'n Guns: Second Edition,4,8,30,30,30,2014,"4,5,6,7,8","6,7,8",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Ca$h 'n Guns: Second Edition – More Ca$h 'n More Guns,181228,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100380688,5.98329,7.23636,1.4667,0,3852,thing,Ca$h 'n Guns: Second Edition – More Ca$h 'n More Guns,4,8,30,0,30,2015,"4,5,6,7,8","6,7,8",10+,No necessary in-game text,,,,,,expansion,,,,,
El Caballero,9,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701992,5.87481,6.47007,2.9515,3834,2805,thing,El Caballero,2,4,90,90,90,1998,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,
Cacao: Diamante – New Huts,234129,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,48571572,5.5588,7.35616,2,0,635,thing,Cacao: Diamante – New Huts,2,4,60,60,60,2017,"2,3,4",4,8+,,,,,,,expansion,,,,,
Cache Me If You Can!: The Geocaching Board Game,142963,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53403912,5.51172,6.53706,2.5,20258,151,thing,Cache Me If You Can!: The Geocaching Board Game,2,4,60,60,60,2013,"2,3,4","3,4",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Cadwallon: City of Thieves,69120,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151159,5.80077,6.25418,2.3243,4506,3142,thing,Cadwallon: City of Thieves,2,4,45,45,45,2010,"3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Café International,214,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33366679,5.89611,6.21897,1.6422,3683,4508,thing,Café International,2,4,60,60,45,1989,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Calico,283155,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87762535,7.26255,7.5092,2.1882,252,36813,thing,Calico,1,4,45,45,30,2020,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Calico:  Opposites Attract Tantrum House Promo Tiles,368113,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121431680,5.53434,7.90625,2,0,381,thing,Calico:  Opposites Attract Tantrum House Promo Tiles,1,4,45,45,30,2022,,,,,,,,,,expansion,,,,,
California,21464,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668406,5.7764,6.20674,1.7958,4805,1984,thing,California,2,5,60,60,60,2006,"2,3,4,5","3,4,5",6+,No necessary in-game text,,,,,,standalone,,,,,
Call of Duty: Black Ops – Free-For-All Card Game,264980,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120553180,0,7.07692,1,0,139,thing,Call of Duty: Black Ops – Free-For-All Card Game,3,8,30,30,10,2018,"5,6,7,8",7,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Call to Adventure,238992,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102814862,6.61141,7.06501,2.0061,1020,13281,thing,Call to Adventure,1,4,60,60,30,2019,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Call to Adventure: The Name of the Wind,259162,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101434979,5.91597,7.16275,2.4286,0,4483,thing,Call to Adventure: The Name of the Wind,2,4,60,60,30,2019,"1,2,3,4",2,,,,,,,,expansion,,,,,
Callisto: The Game,55705,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668438,5.69019,6.29063,1.62,6111,1118,thing,Callisto: The Game,2,4,20,20,20,2009,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,
Cambria,38873,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,122170138,5.63276,6.41243,1.7857,7517,616,thing,Cambria,2,5,20,20,20,2008,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Camel Up (Second Edition),260605,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115917940,7.24947,7.56726,1.5081,260,25399,thing,Camel Up (Second Edition),3,8,45,45,30,2018,"3,4,5,6,7,8","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,
Caméléon,69465,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115915809,0,6.41176,2,0,62,thing,Caméléon,2,7,10,10,10,2010,,,,,,,,,,standalone,,,,,
Camelot Legends,10496,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87548730,5.68223,6.09094,2.3357,6256,2189,thing,Camelot Legends,2,4,60,60,60,2004,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Campaign Manager 2008,46255,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23157865,6.12484,6.63434,2.2118,2406,3217,thing,Campaign Manager 2008,2,2,45,45,30,2009,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Candamir: The First Settlers,12004,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151280,5.79521,6.18209,2.2333,4571,3291,thing,Candamir: The First Settlers,2,4,120,120,60,2004,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,
Candy Land,5048,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126757008,3.8465,3.20622,1.137,27987,8020,thing,Candy Land,2,4,30,30,30,1949,"2,3,4",4,3–6,No necessary in-game text,,,,,,standalone,,,,,
Canvas,290236,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104753907,6.93268,7.22391,1.6944,550,27010,thing,Canvas,1,5,30,30,30,2021,"1,2,3,4,5","3,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Cape Horn,134,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151144,5.59966,6.00132,2.0227,8804,1040,thing,Cape Horn,3,5,60,60,45,1999,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,
Captain Sonar,171131,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100380734,7.29834,7.51044,2.197,230,31635,thing,Captain Sonar,2,8,60,60,45,2016,"6,7,8",8,12+,No necessary in-game text,,,,,,standalone,,,,,
Captain Sonar: Upgrade One,218178,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100380737,5.75614,7.60527,2,0,3368,thing,Captain Sonar: Upgrade One,2,8,45,45,12,2017,"4,6,8",8,10+,No necessary in-game text,,,,,,expansion,,,,,
Captains of Industry,131449,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,32152156,5.82743,7.0622,3.7609,4225,1271,thing,Captains of Industry,3,5,150,150,90,2015,"3,4,5",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Captains of the Gulf,255455,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,127885202,5.79956,6.90795,3.2195,4516,1002,thing,Captains of the Gulf,1,4,60,60,60,2018,"2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Carcassonne,822,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450864,7.29655,7.41188,1.8894,232,206557,thing,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne,822,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,16346540,7.29655,7.41188,1.8894,232,206557,thing,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: Expansion 1 – Inns & Cathedrals,2993,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450871,7.39649,7.63843,1.9265,0,51323,thing,Carcassonne: Expansion 1 – Inns & Cathedrals,2,6,60,60,60,2002,"2,3,4,5,6","2,3",8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Expansion 2 – Traders & Builders,5405,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450868,7.32952,7.6171,2.0581,0,42743,thing,Carcassonne: Expansion 2 – Traders & Builders,2,6,60,60,60,2003,"2,3,4,5","2,3",8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Expansion 3 – The Princess & The Dragon,15158,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450870,6.51726,6.80697,1.9933,0,27818,thing,Carcassonne: Expansion 3 – The Princess & The Dragon,2,6,60,60,60,2005,"2,3,4,5,6","3,4",8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Expansion 5 – Abbey & Mayor,31784,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450872,6.63181,7.14749,2.0192,0,18252,thing,Carcassonne: Expansion 5 – Abbey & Mayor,2,6,30,30,30,2007,"2,3,4,5,6",3,8+,No necessary in-game text,,,,,,expansion,,,,,
"Carcassonne: Expansion 8 – Bridges, Castles and Bazaars",66646,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450873,6.34175,7.03134,2.06,0,12105,thing,"Carcassonne: Expansion 8 – Bridges, Castles and Bazaars",2,6,45,45,30,2010,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: King & Scout,7707,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450878,6.16379,6.59949,1.7959,0,9399,thing,Carcassonne: King & Scout,2,5,45,45,45,2003,"2,3,4",3,8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: The Castle,7717,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15507101,6.74503,7.1037,1.9837,801,13077,thing,Carcassonne: The Castle,2,2,45,45,30,2003,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: The Dice Game,89953,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,52323902,5.31722,4.93303,1.1087,27877,2365,thing,Carcassonne: The Dice Game,2,5,10,10,10,2011,"2,3,4","2,3",8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: The Discovery,16216,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668435,5.98254,6.48065,1.928,3104,4196,thing,Carcassonne: The Discovery,2,5,45,45,30,2005,"2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: The River II,18836,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450866,6.59778,7.20978,1.6973,0,10178,thing,Carcassonne: The River II,2,6,60,60,60,2005,"2,3,4,5,6",3,8+,No necessary in-game text,,,,,,expansion,,,,,
Card of the Dead,129469,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668487,5.47334,5.44605,1.1667,26701,1136,thing,Card of the Dead,2,5,15,15,15,2011,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Cardcassonne,58798,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23676728,5.78336,6.29371,1.7447,4709,2665,thing,Cardcassonne,2,5,45,45,30,2009,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Cards Against Humanity,50381,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668445,5.56561,5.73632,1.1753,10950,53094,thing,Cards Against Humanity,4,30,30,30,30,2009,"4,5,6,7,8,9,10","6,7,8",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Cards Against Humanity: 2000s Nostalgia Pack,293881,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113924769,5.51977,6.59574,1,0,520,thing,Cards Against Humanity: 2000s Nostalgia Pack,4,30,30,30,30,2019,"3,4,5,6,7,8,9,10","6,7,8",,,,,,,,expansion,,,,,
Cards Against Humanity: 90s Nostalgia Pack,157924,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113924806,5.71149,6.67675,1.1429,0,3533,thing,Cards Against Humanity: 90s Nostalgia Pack,4,30,30,30,30,2014,"4,5,6,7,8,9,10","5,6,7,8",18+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Cards Against Humanity: Absurd Box,265853,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101285390,5.59998,6.7333,1,0,1668,thing,Cards Against Humanity: Absurd Box,4,30,30,30,30,2018,"3,4,5,6,7,8,9,10","6,7,8",,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Cards Against Humanity: Bōks,380927,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113924777,0,7.71429,0,0,107,thing,Cards Against Humanity: Bōks,3,30,0,0,0,2023,,,,,,,,,,expansion,,,,,
Cards Against Humanity: Clam-o-naise,371547,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98962580,0,7.07895,2,0,176,thing,Cards Against Humanity: Clam-o-naise,4,30,30,30,30,2022,,,18+,,,,,,,expansion,,,,,
Cards Against Humanity: Climate Catastrophe Pack,350990,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113924798,0,6.71429,0,0,289,thing,Cards Against Humanity: Climate Catastrophe Pack,4,30,30,30,30,2021,,,,,,,,,,expansion,,,,,
Cards Against Humanity: Culture Wars Pack,397901,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113924746,0,6.71429,0,0,109,thing,Cards Against Humanity: Culture Wars Pack,0,0,0,0,0,2023,,,,,,,,,,expansion,,,,,
