objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"DC Deck-Building Game","125678","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","19003591","6.602","7.03575","2","1038","12755","thing","DC Deck-Building Game","2","5","45","45","45","2012","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2012","English edition"
"DC Deck-Building Game: Heroes Unite","142852","0","2","0","1","0","0","0","0","0","0","0","1","","","","","","26413525","6.33551","7.39848","2.1094","1653","4897","thing","DC Deck-Building Game: Heroes Unite","2","5","45","45","45","2014","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2014","English edition"
"Dead of Winter: A Crossroads Game","150376","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","28484755","7.29156","7.45466","3.0117","235","66879","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2014","English first edition"
"Deus","162082","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","28632962","6.92458","7.26946","2.8237","565","11363","thing","Deus","2","4","90","90","60","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Asmodee; Pearl Games","English","2014","English first edition"
"Diamonds","152162","7.75","0","0","1","0","0","0","0","0","0","0","3","","","","","","29498303","6.4764","6.86742","1.5506","1289","8239","thing","Diamonds","2","6","30","30","20","2014","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stronghold Games","English","2014","English first edition"
"Dice City","179572","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","31729777","6.34735","6.7168","2.0177","1617","8862","thing","Dice City","1","4","60","60","45","2015","1,2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group; Artipia Games","English","2015","English edition"
"Dice Forge","194594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086659","7.01926","7.22357","1.9688","451","36135","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","English","2017","English edition 2017"
"Dimension","153318","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","29581764","6.14398","6.85069","1.375","2309","3457","thing","Dimension","1","4","30","30","30","2015","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition"
"Discoveries: The Journals of Lewis & Clark","171669","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29979169","6.54928","7.01577","2.3547","1139","7172","thing","Discoveries: The Journals of Lewis & Clark","2","4","60","60","60","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ludonaute","English","2015","English edition"
"Disney Hocus Pocus: The Game","303648","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81153683","5.56428","5.91383","1.5333","11061","2408","thing","Disney Hocus Pocus: The Game","2","6","30","30","30","2020","2,3,4,5","3,4","6+","","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2020","English edition"
"Disney Villainous: The Worst Takes it All","256382","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086650","6.70495","6.93663","2.4846","868","49927","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Journey","121288","0","0","1","1","0","0","0","0","0","0","0","3","","","","","","28632932","6.74627","7.39179","1.2576","799","8589","thing","Dixit: Journey","3","6","30","30","30","2012","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee","English","2012","English edition"
"Dominion","36218","0","4","0","1","0","0","0","0","0","0","0","1","","","","","","10407933","7.47831","7.59783","2.3458","138","124702","thing","Dominion","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2009","English edition, second printing"
"Dominion: Hinterlands","104557","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","30241647","7.2758","7.93442","2.5484","0","17172","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Rio Grande Games","English","2011","English first edition"
"Dominion: Intrigue","40834","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","18990287","7.51152","7.68926","2.4129","124","50066","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2009","English first edition"
"Dominion: Prosperity","66690","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","30241589","7.83968","8.22696","2.474","0","34042","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Rio Grande Games","English","2010","English edition"
"Dominion: Seaside","51811","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","10512284","7.66958","8.01622","2.4903","0","34797","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Rio Grande Games","English","2009","English first edition"
"The Downfall of Pompeii","13004","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158712","6.80151","7.16092","1.8443","717","9758","thing","The Downfall of Pompeii","2","4","45","45","45","2013","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2013","English second edition"
"Dr. Eureka","181345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751479","6.18072","6.55726","1.0455","2168","7406","thing","Dr. Eureka","2","4","15","15","15","2016","2,3,4","2,3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange Games","English","2016","English-only first edition"
"Draco Magi","142262","6","1","3","1","0","0","0","0","0","0","0","3","","KickStarter edition with foils for metallic dragons, two KS battlefields, and accompanying playmat.

The game is alright but not at all what I expected. I bought it for the art, and that's really all I still like about it.","","","","25697700","5.68094","6.27461","2.0811","6292","2131","thing","Draco Magi","2","2","30","30","30","2014","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Robert Burke Games","English","2014","English edition"
"The Dragon & Flagon","193840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36908375","5.84133","6.3938","2.4348","4123","2438","thing","The Dragon & Flagon","2","8","60","60","60","2016","4,5,6,7,8","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stronghold Games","English","2016","English edition"
"Dragonwood","172933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60306312","6.16856","6.57903","1.3565","2209","12243","thing","Dragonwood","2","4","20","20","20","2015","2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Home: 156 Sunny Street","232291","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891938","6.01915","7.26155","1.6429","0","3373","thing","Dream Home: 156 Sunny Street","1","6","30","30","30","2017","2,3,4,5,6","4,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.","English","2017","English edition"
"Drop It","244916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086668","6.29227","6.88755","1.0909","1776","4564","thing","Drop It","2","4","30","30","30","2018","2,3,4","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2018","English first edition"
"The Dwarf King","85250","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450550","6.0138","6.5594","1.4316","2936","4043","thing","The Dwarf King","3","5","40","40","40","2011","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","IELLO","English","2011","English first edition"
"Eight-Minute Empire: Legends","142326","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","31262675","6.49774","6.9141","1.9655","1252","8285","thing","Eight-Minute Empire: Legends","2","4","20","20","8","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Red Raven Games","English","2013","English edition"
"Eight-Minute Empire: Lost Lands","161363","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","34255333","5.75621","7.05393","1.913","0","2233","thing","Eight-Minute Empire: Lost Lands","2","6","8","8","8","2015","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Red Raven Games","English","2015","English first edition"
"Elysium","163968","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123570","6.87447","7.19084","2.7749","631","13928","thing","Elysium","2","4","60","60","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Asmodee; Space Cowboys","English","2015","English second edition"
"Escape the Room: Mystery at the Stargazer's Manor","193560","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","33822382","5.98684","6.55313","1.641","3073","3618","thing","Escape the Room: Mystery at the Stargazer's Manor","3","8","90","90","90","2016","1,2,3,4","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ThinkFun","English","2016","English edition, first printing"
"Everdell","199792","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48941924","7.83206","8.00857","2.8234","38","91644","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution","155703","6","2","0","1","0","0","0","0","0","0","0","1","","","","","","26552008","6.81228","7.02611","2.4299","703","24176","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","NorthStar Game Studio","English","2014","English first edition"
"Fairy Tale","13823","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","33428875","6.45937","6.70508","1.7678","1343","12875","thing","Fairy Tale","2","5","30","30","30","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2014","Z-Man English second edition"
"Favor of the Pharaoh","171011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123600","6.23229","6.78057","2.0125","1971","4171","thing","Favor of the Pharaoh","2","4","45","45","45","2015","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2015","English edition"
"Fields of Arle","159675","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58932037","7.60028","8.02791","3.8436","88","17459","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fields of Green","200954","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","47347003","6.53896","7.12819","2.6","1167","6395","thing","Fields of Green","2","4","45","45","45","2017","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Artipia Games; Stronghold Games","English","2017","English second edition"
"Five Tribes: The Artisans of Naqala","176677","0","0","0","1","0","0","0","0","0","0","0","1","","Signed copy by Bruno Cathala - purchased GenCon 2015","","","","29390362","7.18632","8.12087","2.7921","0","14988","thing","Five Tribes: The Artisans of Naqala","2","4","80","80","40","2015","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Days of Wonder","English","2015","English edition 2015"
"Five Tribes: The Djinns of Naqala","157354","9.5","2","0","1","0","0","0","0","0","0","0","1","","","","","","27102646","7.61793","7.77074","2.8405","85","56658","thing","Five Tribes: The Djinns of Naqala","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English; French; German","2014","Multilingual edition"
"Five Tribes: The Thieves of Naqala","199310","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751490","6.16209","7.22611","2.6316","0","6802","thing","Five Tribes: The Thieves of Naqala","2","4","80","80","40","2016","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Days of Wonder","English; French; German; Italian","2016","Multilingual edition"
"Flash Point: Fire Rescue","100901","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","29623719","6.97946","7.15059","2.1965","489","39512","thing","Flash Point: Fire Rescue","2","6","45","45","45","2012","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Indie Boards & Cards","English","2012","English second edition, first printing"
"Flick 'em Up!","169124","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123637","6.57271","6.85091","1.3366","1095","16528","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pretzel Games","English; French; German","2015","Multilingual edition"
"Flock","180920","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47347446","5.47077","5.21679","2.25","26826","736","thing","Flock","2","5","30","30","30","2016","3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2016","English edition"
"Forbidden Desert","136063","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751471","6.92557","7.06923","2.0362","564","56270","thing","Forbidden Desert","2","5","45","45","45","2014","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Gamewright","English","2014","English edition 2014, third printing"
"Forbidden Island","65244","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31262689","6.6501","6.75616","1.7378","965","95621","thing","Forbidden Island","2","4","30","30","30","2015","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Gamewright","English","2015","English edition 070415"
"Forbidden Sky","245271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086634","6.02779","6.38008","2.541","2854","11497","thing","Forbidden Sky","2","5","60","60","60","2018","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Gamewright","English","2018","English edition"
"The Fox in the Forest","221965","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135693","6.87598","7.0782","1.5861","625","35346","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Foxtrot Games; Renegade Game Studios","English","2017","English first edition"
"Fresco: Big Box","139991","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632859","6.43902","7.6726","2.75","0","4536","thing","Fresco: Big Box","2","4","60","60","60","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German","2014","Multilingual first edition"
"FUSE","171273","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123513","6.68059","6.99655","1.6647","904","13414","thing","FUSE","1","5","10","10","10","2015","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","English","2015","English first edition"
"Galaxy Trucker","31481","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50411427","7.2025","7.33671","2.3287","289","39014","thing","Galaxy Trucker","2","4","60","60","60","2008","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Czech Games Edition","English","2008","CGE English edition with Spiele Hit mark"
"Glen More II: Chronicles","265188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457012","7.3788","7.88432","3.0096","189","14264","thing","Glen More II: Chronicles","2","4","120","120","90","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More II: Chronicles – Promo 2: Lowland Clans","292921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457031","5.65869","7.42107","4","0","2363","thing","Glen More II: Chronicles – Promo 2: Lowland Clans","2","4","130","130","100","2019","","","","","","","","","","expansion","","","","","","","","","","","","Funtails","English","2019","English edition"
"Glen More II: Chronicles – promo 3: What Lurks Beneath","292621","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457034","5.67952","7.61065","3.5","0","2438","thing","Glen More II: Chronicles – promo 3: What Lurks Beneath","2","4","130","130","100","2019","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Funtails","English","2019","English edition"
"Gold am Orinoko","137480","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29245616","5.60344","6.4989","1.3333","8631","442","thing","Gold am Orinoko","2","4","20","20","20","2013","2,3,4","3,4","5–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian; Spanish","2013","Multilingual first edition (German packaging)"
"La Granja","146886","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30241545","7.25024","7.60143","3.5717","259","13026","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Spielworxx","English; German","2014","English/German edition"
"Gravwell: Escape from the 9th Dimension","142992","0","3","0","1","0","0","0","0","0","0","0","1","","","","","","34194542","6.34277","6.85886","1.719","1634","4915","thing","Gravwell: Escape from the 9th Dimension","1","4","45","45","20","2014","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","English","2014","English second edition"
"Great Western Trail","193738","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58931935","8.00609","8.17514","3.6988","17","45854","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Haleakala","177727","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450479","5.77563","6.60687","2.3871","4815","1702","thing","Haleakala","2","2","40","40","40","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions; Z-Man Games","English; French","2016","English/French first edition"
"Happy Pigs","156138","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","34255068","6.07102","6.78222","2.3043","2640","2772","thing","Happy Pigs","2","6","45","45","30","2016","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","English second edition"
"Haru Ichiban","165662","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751498","5.88323","6.61481","1.7647","3776","2328","thing","Haru Ichiban","2","2","20","20","20","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blackrock Games","Dutch; English; French","2015","English/French/Dutch edition"
"Le Havre","35677","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50411493","7.67168","7.84293","3.7129","72","38144","thing","Le Havre","1","5","150","150","30","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2017","English sixth edition"
"Hawaii","106217","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34826685","6.57377","7.10399","2.9013","1093","4763","thing","Hawaii","2","5","60","60","60","2015","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2015","English second edition"
"Herbaceous","195314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751417","6.56608","7.00287","1.1963","1106","11279","thing","Herbaceous","1","4","20","20","15","2017","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Dr. Finn's Games; Pencil First Games, LLC","English","2017","English edition"
"Heroscape Expansion Set: Orm's Return ","16694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53821944","6.06259","7.63066","2.3065","0","2331","thing","Heroscape Expansion Set: Orm's Return ","2","4","60","60","60","2005","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Hasbro; Milton Bradley","English","2005","First edition"
"Heroscape Master Set: Rise of the Valkyrie","11170","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53821831","6.96474","7.45597","2.2987","513","13240","thing","Heroscape Master Set: Rise of the Valkyrie","2","4","90","90","90","2004","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Hasbro; Milton Bradley","English","2004","English edition"
"Hey! That's My Fish!","8203","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39722832","6.57768","6.70079","1.4468","1084","29183","thing","Hey, That's My Fish!","2","4","20","20","20","2014","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2014","Fantasy Flight English edition 2014"
"The Hobbit: An Unexpected Journey Deck-Building Game","155460","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39300185","5.70721","6.97222","2.1667","5801","1136","thing","The Hobbit: An Unexpected Journey Deck-Building Game","2","5","45","45","45","2014","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2014","English edition"
"Hollywood Game Night Party Game","155836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26719565","5.51555","5.99859","1.3333","19158","331","thing","Hollywood Game Night Party Game","4","8","0","0","0","2014","4,6,8","8","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Cardinal","English","2014","English edition"
"Imhotep","191862","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","36908358","6.91392","7.13429","2.0144","578","22527","thing","Imhotep","2","4","40","40","40","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2016","English edition"
"Imperial Settlers","154203","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","29498350","7.12215","7.30745","2.7719","353","33610","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games","English","2014","English first edition"
"In the Year of the Dragon: 10th Anniversary","214000","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891957","6.50866","7.54564","2.9167","0","4805","thing","In the Year of the Dragon: 10th Anniversary","2","5","100","100","75","2017","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","English; French; German","2017","Multilingual edition"
"Indian Summer","233678","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60090346","6.30175","6.76242","2.1325","1745","6888","thing","Indian Summer","1","4","60","60","15","2017","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ingenious","9674","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632930","6.89854","7.09947","1.9065","593","22523","thing","Ingenious","1","4","45","45","30","2012","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2012","Fantasy Flight English red box edition 2012"
"Isla Dorada","68182","7.5","6","0","1","0","0","0","0","0","0","0","3","","One of my favorite games to play with a larger group and with older kids.","","","","19003605","6.13295","6.7103","2.1689","2363","3353","thing","Isla Dorada","3","6","60","60","60","2010","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games; Funforge","English; French; German","2010","Multilingual edition"
"The Isle of Cats","281259","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","70142190","7.41065","7.66241","2.3564","164","39961","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","The City of Games","English","2019","English edition"
"Isle of Skye: From Chieftain to King","176494","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","29403375","7.22529","7.39384","2.2536","273","34550","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2015","English first edition"
"Islebound","185589","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123518","6.53754","7.15956","2.7283","1172","6864","thing","Islebound","2","4","120","120","60","2016","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Red Raven Games","English","2016","English edition"
"Istanbul","148949","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30241539","7.38268","7.54117","2.5806","184","37555","thing","Istanbul","2","5","60","60","40","2015","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group; Pegasus Spiele","English","2015","English-only second edition"
"Jaipur","54043","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31242559","7.36912","7.48496","1.4641","196","87103","thing","Jaipur","2","2","30","30","30","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","GameWorks SàRL","English; French; German; Spanish","2016","English/French/German/Spanish edition 2016-1"
"Jamaica","28023","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30241358","6.87929","7.06117","1.6596","623","30619","thing","Jamaica","2","6","60","60","30","2010","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","GameWorks SàRL","English; French","2010","English/French edition 2010"
"Just One","254640","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","85884776","7.43781","7.60075","1.037","152","52374","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kahuna","394","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123582","6.39604","6.61177","2.0543","1496","14454","thing","Kahuna","2","2","40","40","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","KOSMOS English edition 2015"
"Kanagawa","200147","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960821","6.70026","7.02072","2.0095","874","14528","thing","Kanagawa","2","4","45","45","45","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","English first edition"
"Karuba","183251","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","34826699","6.87534","7.16735","1.428","628","16506","thing","Karuba","2","4","40","40","30","2015","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HABA","English; German","2015","English/German first edition"
"King of New York","160499","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","26570237","6.67191","6.87152","1.872","922","26636","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","IELLO","English","2014","English edition"
